REB 	= "countries/rebels.txt"
PIR 	= "countries/pirates.txt"
BAR		= "countries/barbarians.txt"

# Italy
BOG	= "countries/Boii Galla.txt"
BO4	= "countries/Boii Galla Revolt.txt"
ROM	= "countries/Rome.txt"
RO2	= "countries/Rome_Revolt.txt"
ETR	= "countries/Etruria.txt"
ET2	= "countries/Etruria Revolt.txt"
LUC	= "countries/Lucania.txt"
LU4	= "countries/Lucania Revolt.txt"

# Greece/Macedonia
ACH	= "countries/Achaean League.txt"
AC2	= "countries/Achaean League Revolt.txt"
AET	= "countries/Aetolian League.txt"
AE2	= "countries/Aetolian League Revolt.txt"
CRT	= "countries/Crete.txt"
CR2	= "countries/Crete Revolt.txt"
EPI	= "countries/Epirus.txt"
EP2	= "countries/Epirus Revolt.txt"
MAC	= "countries/Macedonia.txt"
MA2	= "countries/Macedonia Revolt.txt"
MAG	= "countries/Magna Graecia.txt"
MG2	= "countries/Magna Graecia Revolt.txt"
MAS	= "countries/Massilia.txt"
MS2	= "countries/Massilia Revolt.txt"
SPA	= "countries/Sparta.txt"
SP2	= "countries/Sparta Revolt.txt"
SYR	= "countries/Syracusae.txt"
SY2	= "countries/Syracusae Revolt.txt"
ATH	= "countries/Athens.txt"
AT3	= "countries/Athens Revolt.txt"
BYZ	= "countries/Byzantion.txt"
BY2	= "countries/Byzantion Revolt.txt"
MI1     = "countries/Milesian Colonies.txt" 
MIA     = "countries/Milesian Colonies Revolt.txt" # 
THS	= "countries/Thessaly.txt"
TH3	= "countries/Thessaly Revolt.txt"

# Thracia/Illyria
DAC	= "countries/Dacia.txt"
DA2	= "countries/Dacia Revolt.txt"
ILY	= "countries/Illyria.txt"
IL2	= "countries/Illyria Revolt.txt"
TYL	= "countries/Tylis.txt"
TY2	= "countries/Tylis Revolt.txt"
DAR	= "countries/Dardania.txt"
DA3	= "countries/Dardania Revolt.txt"
ODR	= "countries/Odrysi.txt"
OD2	= "countries/Odrysi Revolt.txt"
TYR	= "countries/Tyras.txt"       
TY1	= "countries/Tyras Revolt.txt"
SCY	= "countries/Scythia.txt"
SC2	= "countries/Scythia Revolt.txt"
BZT	= "countries/Byzantion1.txt"
BZ2	= "countries/Byzantion1 Revolt.txt"

# Asia Minor
BIT	= "countries/Bithynia.txt"
BI2	= "countries/Bithynia Revolt.txt"
CAP	= "countries/Cappadocia.txt"
CA3	= "countries/Cappadocia Revolt.txt"
COR	= "countries/Corduene.txt"
CO3	= "countries/Corduene Revolt.txt"
LYC	= "countries/Lycian League.txt"
LY2	= "countries/Lycian League Revolt.txt"
PAP	= "countries/Paphlagonia.txt"
PA3	= "countries/Paphlagonia Revolt.txt"
PER	= "countries/Pergamon.txt"
PE2	= "countries/Pergamon Revolt.txt"
PON	= "countries/Pontus.txt"
PO2	= "countries/Pontus Revolt.txt"
RHO	= "countries/Rhodes.txt"
RH2	= "countries/Rhodes Revolt.txt"
SIP	= "countries/Trapezus.txt"
SI3	= "countries/Trapezus Revolt.txt"
SIN	= "countries/Sidon.txt"
SI4	= "countries/Sidon Revolt.txt"

# Caucasia
ALB	= "countries/Albania.txt"
AL2	= "countries/Albania Revolt.txt"
ARM	= "countries/Armenia.txt"
AR2	= "countries/Armenia Revolt.txt"
BOS	= "countries/Bosporan Kingdom.txt"
BO2	= "countries/Bosporan Kingdom Revolt.txt"
COL	= "countries/Colchis.txt"
CO4	= "countries/Colchis Revolt.txt"
IBR	= "countries/Iberia.txt"
IB2	= "countries/Iberia Revolt.txt"
RHX	= "countries/Rhoxolani.txt"
RH3	= "countries/Rhoxolani Revolt.txt"
MAE	= "countries/Maeotae.txt"
MA1	= "countries/Maeotae Revolt.txt"


# Arabia/Persia
COM	= "countries/Commagene.txt"
CO2	= "countries/Commagene Revolt.txt"
JUD	= "countries/Judea.txt"
JU2	= "countries/Judea Revolt.txt"
MED     = "countries/Media.txt"
ME2     = "countries/Media Revolt.txt"
NAB	= "countries/Nabatea.txt"
NA2	= "countries/Nabatea Revolt.txt"
OSR	= "countries/Osroene.txt"
OS2	= "countries/Osroene Revolt.txt"
PAR	= "countries/Parthia.txt"
PA2	= "countries/Parthia Revolt.txt"
PLM	= "countries/Palmyra.txt"
PL2	= "countries/Palmyra Revolt.txt"
SEL	= "countries/Seleucid Empire.txt"
SE2	= "countries/Seleucid Empire Revolt.txt"
SOP	= "countries/Sophene.txt"
SO2	= "countries/Sophene Revolt.txt"



# Africa
CAR	= "countries/Carthage.txt"
CA2	= "countries/Carthage Revolt.txt"
EGY	= "countries/Egypt.txt"
EG2	= "countries/Egypt Revolt.txt"
MAU	= "countries/Mauretania.txt"
MA3	= "countries/Mauretania Revolt.txt"
NUM	= "countries/Numidia.txt"
NU2	= "countries/Numidia Revolt.txt"
NAS	= "countries/Nasamones.txt"
NA3	= "countries/Nasamones Revolt.txt"
GAR	= "countries/Garamantes.txt"
GA4	= "countries/Garamantes Revolt.txt"
THA     = "countries/Theveste.txt"
TH2     = "countries/Theveste Revolt.txt"
EGN 	= "countries/Egypt 2.txt"
EG3	= "countries/Egypt 2 Revolt.txt"
LEP	= "countries/Leptis Magna.txt"
LE4	= "countries/Leptis Magna Revolt.txt"
MSY	= "countries/Massyli.txt"
MS3	= "countries/Massyli Revolt.txt"
MAF 	= "countries/Marmaridae.txt"
MA6	= "countries/Marmaridae Revolt.txt"

# Gaul
AED	= "countries/Aedui.txt"
AE3	= "countries/Aedui Revolt.txt"
ARV	= "countries/Arverni.txt"
AR3	= "countries/Arverni Revolt.txt"
ATR	= "countries/Atrebates.txt"
AT2	= "countries/Atrebates Revolt.txt"
AUL	= "countries/Aulerci.txt"
AU2	= "countries/Aulerci Revolt.txt"
CRN	= "countries/Carnutes.txt"
CR3	= "countries/Carnutes Revolt.txt"
GAU	= "countries/Gaul.txt"
GA3	= "countries/Gaul Revolt.txt"
HLV	= "countries/Helvetii.txt"
HL2	= "countries/Helvetii Revolt.txt"
LEM	= "countries/Lemovices.txt"
LE2	= "countries/Lemovices Revolt.txt"
NRV	= "countries/Nervii.txt"
NR2	= "countries/Nervii Revolt.txt"
PRS	= "countries/Parisii.txt"
PR2	= "countries/Parisii Revolt.txt"
SEQ	= "countries/Sequani.txt"
SE3	= "countries/Sequani Revolt.txt"
RYM     = "countries/Reims.txt"
RY2	= "countries/Reims Revolt.txt"


# Germania
EBU	= "countries/Eburones.txt"
EB2	= "countries/Eburones Revolt.txt"
SUE	= "countries/Suebi.txt"          #¦Ä???
SU2	= "countries/Suebi Revolt.txt"


# Iberia
CAN	= "countries/Cantabri.txt"
CA4	= "countries/Cantabri Revolt.txt"
LUS	= "countries/Lusitani.txt"
LU2	= "countries/Lusitani Revolt.txt"
VAC	= "countries/Vaccaei.txt"
VA2	= "countries/Vaccaei Revolt.txt"
SAG	= "countries/Saguntum.txt"
SA2	= "countries/Saguntum Revolt.txt"
TUR	= "countries/Turdetani.txt"
TU2	= "countries/Turdetani Revolt.txt"
YLK	= "countries/Ilercavones.txt"
YL2	= "countries/Ilercavones Revolt.txt"

# Britain
CAT	= "countries/Catuvellauni.txt"
CT2	= "countries/Catuvellauni Revolt.txt"
PIC	= "countries/Pictii.txt"
PI2	= "countries/Pictii Revolt.txt"
SIL	= "countries/Siluri.txt"
SI2	= "countries/Siluri Revolt.txt"

# Independent Regions
CYR	= "countries/Cyrenaica.txt"
CY2	= "countries/Cyrenaica Revolt.txt"
GAL	= "countries/Galatia.txt"
GA2	= "countries/Galatia Revolt.txt"
QRO = "countries/Region_Roma.txt"
QR2 = "countries/Region_Roma Revolt.txt"
QMG = "countries/Region_Magna_Graecia.txt"
QM2 = "countries/Region_Magna_Graecia Revolt.txt"
QSI = "countries/Region_Sicily.txt"
QS2 = "countries/Region_Sicily Revolt.txt"
QCS = "countries/Region_Corsica_et_Sardinia.txt"
QC2 = "countries/Region_Corsica_et_Sardinia Revolt.txt"
QGS = "countries/region_gallia_cisalpina.txt"
QG2 = "countries/region_gallia_cisalpina Revolt.txt"
QNA = "countries/region_narbonensis.txt"
QN2 = "countries/region_narbonensis Revolt.txt"
QAQ = "countries/region_aquitania.txt"
QA2 = "countries/region_aquitania Revolt.txt"
QLU = "countries/region_lugdunensis.txt"
QL2 = "countries/region_lugdunensis Revolt.txt"
QBE = "countries/region_belgica.txt"
QB2 = "countries/region_belgica Revolt.txt"
QBR = "countries/region_britannia.txt"
QB3 = "countries/region_britannia Revolt.txt"
QHI = "countries/region_hibernia.txt"
QH2 = "countries/region_hibernia Revolt.txt"
QGI = "countries/region_germania_inferior.txt"
QG3 = "countries/region_germania_inferior Revolt.txt"
QGP = "countries/region_germania_superior.txt"
QG4 = "countries/region_germania_superior Revolt.txt"
QGM = "countries/region_germania_magna.txt"
QG5 = "countries/region_germania_magna Revolt.txt"
QSC = "countries/region_scandza.txt"
QS3 = "countries/region_scandza Revolt.txt"
QRA = "countries/region_raetia.txt"
QR3 = "countries/region_raetia Revolt.txt"
QPS = "countries/region_pannonia_superior.txt"
QP2 = "countries/region_pannonia_superior Revolt.txt"
QDA = "countries/region_dalmatia.txt"
QD2 = "countries/region_dalmatia Revolt.txt"
QAC = "countries/region_achaia.txt"
QA3 = "countries/region_achaia Revolt.txt"
QMA = "countries/region_macedonia.txt"
QM3 = "countries/region_macedonia Revolt.txt"
QTH = "countries/region_thracia.txt"
QT2 = "countries/region_thracia Revolt.txt"
QDC = "countries/region_dacia.txt"
QD3 = "countries/region_dacia Revolt.txt"
QMS = "countries/region_moesia_superior.txt"
QM4 = "countries/region_moesia_superior Revolt.txt"
QMI = "countries/region_moesia_inferior.txt"
QM5 = "countries/region_moesia_inferior Revolt.txt"
QSA = "countries/region_sarmatia.txt"
QS4 = "countries/region_sarmatia Revolt.txt"
QBO = "countries/region_bosporus.txt"
QB4 = "countries/region_bosporus Revolt.txt"
QIB = "countries/region_iberia.txt"
QI2 = "countries/region_iberia Revolt.txt"
QBA = "countries/region_baetica.txt"
QB5 = "countries/region_baetica Revolt.txt"
QLS = "countries/region_lusitania.txt"
QL3 = "countries/region_lusitania Revolt.txt"
QTA = "countries/region_tarraconensis.txt"
QT3 = "countries/region_tarraconensis Revolt.txt"
QMU = "countries/region_mauretania.txt"
QM6 = "countries/region_mauretania Revolt.txt"
QNU = "countries/region_numidia.txt"
QN3 = "countries/region_numidia Revolt.txt"
QAF = "countries/region_africa.txt"
QA4 = "countries/region_africa Revolt.txt"
QAE = "countries/region_aegyptus.txt"
